driverId_848.0-num_fast_corners    -0.229416       0.125927
driverId_807.0-num_fast_corners    -0.229416       0.138698
driverId_4.0-num_fast_corners      -0.229416       0.144129
driverId_864.0-num_slow_corners    -0.229416       0.178913
driverId_4.0-num_slow_corners      -0.229416       0.260944
prev_driver_wins                   -0.410152       0.368400
prev_construct_position             1.566699       3.219147

[DRIVER]: HAD [PRED]: [[18.53]] [BIAS]: [10.42827338]
---                                 Input Value  Feature Score
driverId_832.0-strt_len_median     -0.229416      -0.071698
driverId_860.0-num_slow_corners    -0.229416      -0.068159
driverId_832.0-strt_len_min        -0.229416      -0.058016
driverId_848.0-num_med_corners     -0.229416      -0.051551
